Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Cushing syndrome	2/155	2.578044e-03	4.019531e-03	0	0	3.241340e+01	1.932073e+02	CTNNB1;EGFR
KEGG_2021_Human	Non-alcoholic fatty liver disease	2/155	2.578044e-03	4.019531e-03	0	0	3.241340e+01	1.932073e+02	JUN;AKT1
KEGG_2021_Human	Hippo signaling pathway	2/163	2.845860e-03	4.389890e-03	0	0	3.079037e+01	1.804898e+02	MYC;CTNNB1
KEGG_2021_Human	Neutrophil extracellular trap formation	2/189	3.802922e-03	5.804461e-03	0	0	2.647460e+01	1.475161e+02	AKT1;MTOR
KEGG_2021_Human	Transcriptional misregulation in cancer	2/192	3.921793e-03	5.862475e-03	0	0	2.605263e+01	1.443630e+02	MYC;TP53
KEGG_2021_Human	Chemokine signaling pathway	2/192	3.921793e-03	5.862475e-03	0	0	2.605263e+01	1.443630e+02	STAT3;AKT1
KEGG_2021_Human	Diabetic cardiomyopathy	2/203	4.372428e-03	6.469408e-03	0	0	2.461318e+01	1.337096e+02	AKT1;MTOR
KEGG_2021_Human	cAMP signaling pathway	2/216	4.934699e-03	7.227589e-03	0	0	2.310280e+01	1.227097e+02	JUN;AKT1
KEGG_2021_Human	Ras signaling pathway	2/232	5.670401e-03	8.222082e-03	0	0	2.147826e+01	1.110962e+02	AKT1;EGFR
KEGG_2021_Human	Huntington disease	2/306	9.681798e-03	1.389961e-02	0	0	1.618914e+01	7.507728e+01	TP53;MTOR
KEGG_2021_Human	Amyotrophic lateral sclerosis	2/364	1.349638e-02	1.918603e-02	0	0	1.355525e+01	5.835987e+01	TP53;MTOR
KEGG_2021_Human	Ferroptosis	1/41	2.031629e-02	2.832560e-02	0	0	5.541667e+01	2.159217e+02	TP53
KEGG_2021_Human	Homologous recombination	1/41	2.031629e-02	2.832560e-02	0	0	5.541667e+01	2.159217e+02	BRCA1
KEGG_2021_Human	Pathways of neurodegeneration	2/475	2.232580e-02	3.083087e-02	0	0	1.031554e+01	3.921980e+01	CTNNB1;MTOR
KEGG_2021_Human	Type II diabetes mellitus	1/46	2.276831e-02	3.114533e-02	0	0	4.924691e+01	1.862708e+02	MTOR
KEGG_2021_Human	Carbohydrate digestion and absorption	1/47	2.325805e-02	3.151792e-02	0	0	4.817391e+01	1.811871e+02	AKT1
KEGG_2021_Human	Cocaine addiction	1/49	2.423687e-02	3.254024e-02	0	0	4.616204e+01	1.717172e+02	JUN
KEGG_2021_Human	Fanconi anemia pathway	1/54	2.668006e-02	3.549182e-02	0	0	4.179665e+01	1.514643e+02	BRCA1
KEGG_2021_Human	Regulation of lipolysis in adipocytes	1/55	2.716803e-02	3.581240e-02	0	0	4.102058e+01	1.479085e+02	AKT1
KEGG_2021_Human	VEGF signaling pathway	1/59	2.911773e-02	3.803668e-02	0	0	3.818391e+01	1.350339e+02	AKT1
KEGG_2021_Human	GnRH secretion	1/64	3.154992e-02	4.084587e-02	0	0	3.514462e+01	1.214663e+02	AKT1
KEGG_2021_Human	Fc epsilon RI signaling pathway	1/68	3.349171e-02	4.297609e-02	0	0	3.303980e+01	1.122183e+02	AKT1
KEGG_2021_Human	Amphetamine addiction	1/69	3.397661e-02	4.321587e-02	0	0	3.255229e+01	1.100945e+02	JUN
KEGG_2021_Human	Pertussis	1/76	3.736480e-02	4.650807e-02	0	0	2.950370e+01	9.697945e+01	JUN
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	1/77	3.784795e-02	4.650807e-02	0	0	2.911404e+01	9.532455e+01	CTNNB1
KEGG_2021_Human	Bacterial invasion of epithelial cells	1/77	3.784795e-02	4.650807e-02	0	0	2.911404e+01	9.532455e+01	CTNNB1
KEGG_2021_Human	Leishmaniasis	1/77	3.784795e-02	4.650807e-02	0	0	2.911404e+01	9.532455e+01	JUN
KEGG_2021_Human	Th1 and Th2 cell differentiation	1/92	4.506909e-02	5.470567e-02	0	0	2.429670e+01	7.530906e+01	JUN
KEGG_2021_Human	Rheumatoid arthritis	1/93	4.554876e-02	5.470567e-02	0	0	2.403140e+01	7.423232e+01	JUN
KEGG_2021_Human	TGF-beta signaling pathway	1/94	4.602822e-02	5.470567e-02	0	0	2.377180e+01	7.318151e+01	MYC
KEGG_2021_Human	IL-17 signaling pathway	1/94	4.602822e-02	5.470567e-02	0	0	2.377180e+01	7.318151e+01	JUN
KEGG_2021_Human	Fc gamma R-mediated phagocytosis	1/97	4.746528e-02	5.595500e-02	0	0	2.302546e+01	7.017601e+01	AKT1
KEGG_2021_Human	Melanogenesis	1/101	4.937833e-02	5.774079e-02	0	0	2.210000e+01	6.648218e+01	CTNNB1
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	1/106	5.176478e-02	6.004715e-02	0	0	2.104233e+01	6.230729e+01	EGFR
KEGG_2021_Human	Glucagon signaling pathway	1/107	5.224142e-02	6.011910e-02	0	0	2.084277e+01	6.152534e+01	AKT1
KEGG_2021_Human	Cholinergic synapse	1/113	5.509675e-02	6.290574e-02	0	0	1.972024e+01	5.716235e+01	AKT1
KEGG_2021_Human	Leukocyte transendothelial migration	1/114	5.557189e-02	6.295253e-02	0	0	1.954474e+01	5.648582e+01	CTNNB1
KEGG_2021_Human	Platelet activation	1/124	6.031143e-02	6.779191e-02	0	0	1.794670e+01	5.039854e+01	AKT1
KEGG_2021_Human	Oocyte meiosis	1/129	6.267316e-02	6.990468e-02	0	0	1.724132e+01	4.775539e+01	CDK1
KEGG_2021_Human	Dopaminergic synapse	1/132	6.408763e-02	7.093669e-02	0	0	1.684394e+01	4.627878e+01	AKT1
KEGG_2021_Human	Ubiquitin mediated proteolysis	1/140	6.785018e-02	7.453239e-02	0	0	1.586811e+01	4.269240e+01	BRCA1
